dataset_partition,condition,shift_family,severity,method,accuracy,nll,brier,ece,mce,mean_confidence
test,shifted,gaussian_noise,0.05,uncalibrated,0.9407407407407408,0.16159924127067532,0.07765245824661991,0.030882902401186352,0.6405609594203869,0.9486647697343116
test,shifted,gaussian_noise,0.05,scalar_temperature,0.9407407407407408,0.16530008127930101,0.07740268169434114,0.035036693302402035,0.5533411219471086,0.9368727308273745
test,shifted,gaussian_noise,0.05,adaptive_temperature,0.9407407407407408,0.16562691854985828,0.0767396526352863,0.0343994349149075,0.5779262224185305,0.9329345929457029
test,shifted,gaussian_noise,0.1,uncalibrated,0.9444444444444444,0.16555148709808903,0.07899796757587538,0.028729301919726464,0.5834198947054265,0.9460852899172909
test,shifted,gaussian_noise,0.1,scalar_temperature,0.9444444444444444,0.1691393713704519,0.07892021576346815,0.029915563086733134,0.6873367063297744,0.934399011001748
test,shifted,gaussian_noise,0.1,adaptive_temperature,0.9444444444444444,0.16879006638662114,0.07834463711174304,0.03108064169829397,0.6846341483584627,0.9303482093028137
test,shifted,gaussian_noise,0.15,uncalibrated,0.9481481481481482,0.16797177367183327,0.07877771149132164,0.042177564506802996,0.644749629410218,0.9457282118942614
test,shifted,gaussian_noise,0.15,scalar_temperature,0.9481481481481482,0.17147412735906106,0.07888024477805024,0.04154794418973622,0.6790204588679993,0.9341547234358916
test,shifted,gaussian_noise,0.15,adaptive_temperature,0.9481481481481482,0.1712837308289796,0.07813228901847859,0.039264278565113414,0.572281156031469,0.9300794679545706
test,shifted,gaussian_noise,0.2,uncalibrated,0.9407407407407408,0.19541930385621092,0.0907394845739588,0.02398464197748192,0.7126557175830623,0.9453185010338527
test,shifted,gaussian_noise,0.2,scalar_temperature,0.9407407407407408,0.19671829917071837,0.0904241182093526,0.03207229510454744,0.7294679514305276,0.9329440597406177
test,shifted,gaussian_noise,0.2,adaptive_temperature,0.9407407407407408,0.19689513332485584,0.09032959538015822,0.03325957139954357,0.7468880169070504,0.928758189506905
test,shifted,gaussian_noise,0.3,uncalibrated,0.9333333333333333,0.20108486601660053,0.09766047040668134,0.022599706537931526,0.5876209654897802,0.9427820458653051
test,shifted,gaussian_noise,0.3,scalar_temperature,0.9333333333333333,0.20292014627254928,0.09719865880101834,0.02437147346547767,0.41858525590222095,0.929848220101712
test,shifted,gaussian_noise,0.3,adaptive_temperature,0.9333333333333333,0.2024840531851933,0.09619029884111534,0.0269653335935991,0.32406513882014054,0.9251802596630015
test,shifted,contrast_scale,0.8,uncalibrated,0.9407407407407408,0.17481653617969942,0.07919776382517428,0.04734420196563116,0.6868478422120247,0.9229189891152372
test,shifted,contrast_scale,0.8,scalar_temperature,0.9407407407407408,0.18910083649849224,0.08182706796924724,0.05938172929868401,0.46115826363582607,0.904608593976851
